nitEmpresa,sigla,tipo,activos,tipo_entidad
860021738,COOACUEDUCTO,Especializada,146424000000.00,2
860049363,COOPCAFAM,Especializada,145360000000.00,3
860027186,,Especializada,141713000000.00,4
800112808,FODUN,Fondos de empleados,140621000000.00,4
860527467,FECOLSA,Fondos de empleados,139922000000.00,4
800020684,COFINAL LTDA,Especializada,139566000000.00,3
860534049,FEC,Fondos de empleados,139136000000.00,2
890308458,FONDOCCIDENTE,Fondos de empleados,137437000000.00,2
860040212,FONTEBO,Fondos de empleados,137193000000.00,4
860516881,COOPSERFUN,Cooperativas y otras,136557000000.00,3
860023189,COOTRAPELDAR,Especializada,136214000000.00,3
860047066,COIMPESORES,Cooperativas y otras,136086000000.00,3
860029200,FEBANCOLOMBIA,Fondos de empleados,133726000000.00,2
890203827,COOPSERVIVELEZ LTDA,Especializada,132965000000.00,3
890500571,COAGRONORTE LTDA.,Cooperativas y otras,131248000000.00,3
890908823,COOPACREDITO SANTA ROSA,Especializada,128825000000.00,1
890002377,,Especializada,128453000000.00,3
891409747,COOEDUCAR,Especializada,124269000000.00,4
800052963,FONBIENESTAR,Fondos de empleados,124204000000.00,3
890904902,,Especializada,123242000000.00,2
860007266,ADEBOL,Fondos de empleados,121897000000.00,2
891201588,COACREMAT LTDA,Cooperativas y otras,120151000000.00,1
892000373,CONGENTE,Especializada,117923000000.00,3
860015017,COOVITEL,Especializada,109010000000.00,3
890306494,COOFIPOPULAR,Especializada,108731000000.00,3
890803236,CESCA,Especializada,106972000000.00,1
860068657,FEMPHA,Fondos de empleados,105690000000.00,1
890905206,COOYARUMAL,Especializada,105249000000.00,2
890112491,FONDECOR,Fondos de empleados,103949000000.00,2
860024575,,Especializada,103647000000.00,2
800020034,COOTRACERREJON,Especializada,99701819698.00,1
860514823,COOPEBIS,Especializada,98794478418.00,2
891701124,COOEDUMAG,Cooperativas y otras,98436099261.00,3
890901502,FEBANC,Fondos de empleados,98390303134.00,2
860016249,FONDO UNIANDES,Fondos de empleados,97292329555.00,2
860533452,CORPECOL,Fondos de empleados,91707109302.00,4
890203690,SERVIMCOOP,Especializada,90728683261.00,4
860048537,COVICSS,Fondos de empleados,90554118335.00,1
890201091,FAVUIS,Fondos de empleados,89399342994.00,4
890270045,FINANCIERA COAGROSUR,Especializada,89367416132.00,2
830511763,ACCION Y PROGRESSO,Cooperativas y otras,88183488834.00,2
890905864,F.B.C.,Fondos de empleados,85327928775.00,3
860013717,CREDICOOP,Especializada,84913662212.00,3
891101158,COOCENTRAL,Cooperativas y otras,84282143309.00,4
800005340,FECOOMEVA,Fondos de empleados,82536833688.00,2
900460059,COOPCANAPRO,Especializada,82048246754.00,1
890206107,COOPRODECOL LTDA,Especializada,80674354789.00,2
890201854,COPACREDITO,Especializada,79692756553.00,3
890300634,COOPCARVAJAL,Especializada,78670312606.00,2
890985280,FEC,Fondos de empleados,78085792195.00,3
860006643,,Fondos de empleados,77224087903.00,1
900790934,SUCREDITO,Especializada,76738730552.00,2
891500231,CAFICAUCA,Cooperativas y otras,76313598708.00,1
891201294,COLACTEOS,Cooperativas y otras,75995342677.00,4
830113916,CPS,Cooperativas y otras,74965301050.00,2
891100321,COAGROHUILA,Cooperativas y otras,74934250233.00,1
860041580,FEVAL,Fondos de empleados,72731497420.00,4
800117821,COOPEMSURA,Especializada,71145483072.00,1
860004840,FESICOL,Fondos de empleados,70905455555.00,3
890318786,FEDEJOHNSON,Fondos de empleados,70368230931.00,1
890317598,FONVALLE,Fondos de empleados,70266730746.00,3
860520547,COOPEDAC,Especializada,70217193316.00,3
800173694,COOTEP LTDA,Especializada,69826605631.00,2
830143476,UNIMOS,Especializada,68140786434.00,2
890911402,COOPSUYA,Especializada,67859674217.00,3
890311006,FONAVIEMCALI,Fondos de empleados,67513890871.00,3
860006632,,Fondos de empleados,67442681737.00,2
890801094,COOPMANIZALES,Cooperativas y otras,66903475624.00,2
890985077,COMUNA,Cooperativas y otras,66801043456.00,1
900547850,COOPESUR,Cooperativas y otras,66085000287.00,3
900062612,COOEMSSANAR SF,Cooperativas y otras,64805425058.00,3
890701355,SERVIARROZ,Cooperativas y otras,63878453619.00,4
800103186,COOMUATOLSURE,Cooperativas y otras,63517337514.00,3
800210714,FEORACLE,Fondos de empleados,63300601062.00,2
860027069,CORBANCA,Fondos de empleados,62084000078.00,3
890905327,FORJAR,Especializada,61818563149.00,4
890115231,FONDOLIMPICA,Fondos de empleados,61740019096.00,4
890301278,COOTRAEMCALI,Cooperativas y otras,61308709675.00,4
891400088,COOPCAFER,Cooperativas y otras,61163166993.00,3
860007783,CORFEINCO,Cooperativas y otras,60610720792.00,4
890910254,COOPECREDITO ENTRERRIOS,Especializada,58886117645.00,4
890907323,COOCAFISA,Cooperativas y otras,58850777173.00,1
890906852,COOTRASENA,Especializada,58844250783.00,4
800069695,FECEDA,Fondos de empleados,57653867510.00,2
891301208,,Especializada,56755313507.00,1
830086712,COOPERATIVA MINUTO DE DIOS,Cooperativas y otras,56563221109.00,4
860026153,SOMEC,Cooperativas y otras,56288803598.00,4
890114655,FONDEARGOS,Fondos de empleados,55064908531.00,4
890700605,PROSPERANDO,Especializada,54866587474.00,1
890901172,CONSUMO,Cooperativas y otras,53781613926.00,1
860518842,FESOL,Fondos de empleados,53049342977.00,2
860516532,FEJ,Fondos de empleados,52789993306.00,4
890201988,COOPECAFE,Cooperativas y otras,52432657406.00,1
860064050,FEUD,Fondos de empleados,51599956370.00,4
901302387,CAFEUCOL,Cooperativas y otras,51530133924.00,2
890922066,COOSANLUIS,Especializada,51404322969.00,1
890907710,COOPERENKA,Especializada,51340785869.00,4
807000829,COOPROCARCEGUA,Cooperativas y otras,51068871032.00,3
890984981,COOSERVUNAL,Especializada,51030836523.00,3
860065351,COOPCHIPAQUE,Especializada,50399349850.00,2
890904868,COOABEJORRAL,Especializada,49957586127.00,4
891300716,COOTRAIPI,Especializada,49648078739.00,2
890308934,CRECIAT,Fondos de empleados,49588039612.00,3
891400646,COOMPER,Cooperativas y otras,49527749976.00,1
800113658,SERFUNCOOP,Cooperativas y otras,49455858220.00,1
890327352,FONDECOM,Fondos de empleados,49082717626.00,1
890270572,CRECENTRO LTDA,Fondos de empleados,48531884181.00,3
890204348,COMULSEB,Especializada,47883277514.00,4
890982409,COMFAMIGOS,Especializada,47626238919.00,2
890802621,,Cooperativas y otras,46669022789.00,3
890200209,COPVILLANUEVA,Especializada,46664966884.00,4
891857816,COOMEC,Especializada,46607642474.00,2
890201545,COOPVALLE,Especializada,46433981343.00,4
815000377,MANUELITACOOP,Especializada,45628446179.00,3
900940343,FONVIMA,Fondos de empleados,45480777690.00,4
900067659,EPSIFARMA,Cooperativas y otras,45479139256.00,4
811025861,CCA,Cooperativas y otras,45409104064.00,1
800155308,COOPFUTURO,Cooperativas y otras,45374814130.00,2
890982420,COOFRASA,Especializada,45369353464.00,4
800077762,BADIVENCOOP LTDA,Especializada,44929822824.00,1
860037864,FEDEF,Fondos de empleados,44908535128.00,3
860015964,COOPMINCOM,Cooperativas y otras,44621441412.00,3
891900475,CAFENORTE,Cooperativas y otras,44450513188.00,3
890303400,INVERCOOB,Especializada,44433679456.00,3
860035332,FONPELDAR,Fondos de empleados,44277389975.00,4
890303438,MULTIROBLE,Especializada,43835167311.00,1
860522164,COOPVENCEDOR,Cooperativas y otras,43715490702.00,1
860074958,FONREGINAL,Fondos de empleados,43534243652.00,1
860077728,FEDESCO,Fondos de empleados,42793907859.00,3
890901188,SUPERFONDO,Fondos de empleados,42676516998.00,4
800171627,FONDO EMPLEADOS CLARO COLOMBIA,Fondos de empleados,42650942360.00,2
800220004,LA CAJITA,Fondos de empleados,42640545178.00,3
890982297,CIDESA,Especializada,42337336301.00,4
890312775,FETRABUV,Fondos de empleados,41752699275.00,1
890801106,,Cooperativas y otras,41750262558.00,1
890800171,,Cooperativas y otras,40802075101.00,2
900297348,COOMULPINORT,Cooperativas y otras,40624064266.00,2
891001123,COOEDUCORD,Cooperativas y otras,40602331537.00,1
830034757,FECEL,Fondos de empleados,39746773260.00,4
890904945,,Especializada,39654238597.00,1
800091618,FONDESENTTIA,Fondos de empleados,39585999859.00,1
890201054,FINECOOP,Especializada,39108786302.00,2
890400186,FONRECAR,Fondos de empleados,38906454992.00,1
806002962,FONDUCAR,Fondos de empleados,38668506564.00,3
900068438,COMUNION,Especializada,38514934873.00,4
830013396,FONCEL,Fondos de empleados,38403686689.00,3
890324067,FEDIAN,Fondos de empleados,38254087303.00,2
890907038,,Especializada,37600274804.00,1
860068522,CODECOL,Especializada,37512478097.00,1
860077746,,Especializada,37149666693.00,1
890301310,CEMCOP,Especializada,37130117613.00,1
901000214,CREDIAHORROS TAX FERIA,Especializada,36891475580.00,1
800033961,FONSABANA,Fondos de empleados,36763612762.00,1
890802543,CEOCAL LTDA.,Cooperativas y otras,36745797464.00,2
860016239,SUFONDOS,Fondos de empleados,36550611853.00,1
890701732,CAFISUR,Cooperativas y otras,36281005689.00,3
890985233,AMIGOTEX,Fondos de empleados,35419911962.00,3
890203006,FODESI,Fondos de empleados,35396350160.00,4
900410475,,Cooperativas y otras,35301527707.00,1
811010302,COYAMOR,Especializada,35201184593.00,4
800097913,FEG,Fondos de empleados,34763154061.00,2
890304082,GRANCOOP,Especializada,34524895227.00,3
839000693,AYATAWACOOP,Cooperativas y otras,34399269390.00,3
860017111,COOPETEXAS,Especializada,34330712062.00,1
890700646,COOPJUDICIAL,Especializada,34116522780.00,1
891101627,CREDIFUTURO,Especializada,34007414311.00,4
830501867,FEMFUTURO-GANA,Fondos de empleados,33919587901.00,3
890505856,FOMANORT,Fondos de empleados,33751080040.00,2
890917555,EDUCOOP,Cooperativas y otras,33691006367.00,1
820000753,COMERCIACOOP,Especializada,33597774164.00,1
800010357,FEGECOLSA,Fondos de empleados,33494730443.00,4
891103461,FONEDH LTDA,Fondos de empleados,33480787769.00,4
890204101,SERVICONAL,Especializada,33440427462.00,4
804001619,COOMULTAGRO LTDA,Especializada,33429373917.00,2
860014871,COOPSENA LTDA,Cooperativas y otras,33204954588.00,3
800224972,SERFUNLLANOS LOS OLIVOS,Cooperativas y otras,33098123555.00,1
810000164,,Cooperativas y otras,33073623678.00,2
800189182,NO,Cooperativas y otras,33055675773.00,3
890307235,FODEBAX,Fondos de empleados,33022720011.00,4
800021698,COOPEOCCIDENTE,Cooperativas y otras,32764055785.00,3
890000334,COOCAFEQ,Cooperativas y otras,32709170512.00,4
890981212,AVANCOP,Especializada,32325374618.00,1
900486036,FONALIANZA,Fondos de empleados,32282132982.00,3
800108302,VIVIR,Cooperativas y otras,32150363432.00,3
830010878,FARMACOOP,Cooperativas y otras,31970437322.00,2
890905859,COOTRAMED,Especializada,31595404924.00,4
835000115,FESPBUN,Fondos de empleados,31391702824.00,4
890201055,COOPASAN,Cooperativas y otras,31231086239.00,4
890104291,CEDEC,Cooperativas y otras,31097249555.00,3
890985772,COOGOMEZPLATA,Especializada,30809984204.00,2
890001590,FACEQUIN LTDA,Fondos de empleados,30726070842.00,1
800254697,SERFUNORTE,Cooperativas y otras,30645410174.00,2
890801626,NINGUNA,Cooperativas y otras,30573052499.00,4
860051170,COORATIENDAS,Cooperativas y otras,30469446244.00,2
800195207,FEL,Fondos de empleados,30176086943.00,2
890803103,COOCALPRO,Especializada,30075265712.00,1
900198308,CON FAMILIA,Fondos de empleados,29963266737.00,2
830111345,FONDO DE EMPLEADOS DE CENCOSUD COLOMBIA S A,Fondos de empleados,29956323234.00,4
860011069,FAVEC,Fondos de empleados,29800292316.00,3
890909288,COOTRADEPTALES LTDA.,Especializada,29737194682.00,3
860020373,FELEVAPAN,Fondos de empleados,29712338797.00,3
860069386,FEVI,Fondos de empleados,29643148398.00,2
891400657,COOPLAROSA,Especializada,29564216339.00,1
811006446,FOMEVI,Fondos de empleados,29540084292.00,2
800000122,COOMONOMEROS,Especializada,29514805403.00,1
860025111,FEDEAA,Fondos de empleados,29313700603.00,2
807007570,COOMULDENORTE LTDA,Cooperativas y otras,29087030203.00,1
890936278,FONDO DE EMPLEADOS DEL HOSPITAL PABLO TOBON URIBE,Fondos de empleados,29082863747.00,3
830066248,FONEH,Fondos de empleados,29028784770.00,4
890204803,COIMPRESORES DEL ORIENTE LTDA,Cooperativas y otras,28973105328.00,4
891401790,COODELMAR,Cooperativas y otras,28934603389.00,1
811007533,FECSA,Fondos de empleados,28527617081.00,4
800011001,COOPEAIPE,Especializada,28504879755.00,3
860007345,FONDEXXOM,Fondos de empleados,28483747785.00,1
890209099,COOSANANDRESITO,Especializada,28408530523.00,3
804007876,COOMTGI,Cooperativas y otras,28263581844.00,4
860028966,COPERAGRO E.C.,Cooperativas y otras,28230453064.00,1
860040746,FEBAY,Fondos de empleados,28190913002.00,4
816003954,CERCAFE,Cooperativas y otras,27937072203.00,4
811031526,AMAR,Cooperativas y otras,27628029085.00,4
860045172,USTACOOP LTDA.,Especializada,27474377978.00,2
860062437,FESS,Fondos de empleados,27432872584.00,1
891502063,FONDUC,Fondos de empleados,27394184985.00,4
890203729,COOPROFESIONALES LTDA,Especializada,26858026772.00,4
830035448,FECEM,Fondos de empleados,26720465574.00,4
860047940,FEFNA,Fondos de empleados,26473808822.00,3
811026616,,Fondos de empleados,26053213640.00,4
830105648,FONTELMEX,Fondos de empleados,26005965776.00,2
890982530,,Especializada,25707829477.00,1
891409285,FAVI UTP,Especializada,25382239684.00,3
830044132,FONSODI,Fondos de empleados,25140918514.00,2
830046245,FONCORBETA,Fondos de empleados,25122848457.00,4
860037073,CORNOTARE,Fondos de empleados,25083121231.00,4
800052851,FONELSA,Fondos de empleados,25076625784.00,3
900120344,FARMADISA,Cooperativas y otras,24960407733.00,2
800155087,COOTREGUA,Especializada,24666343327.00,2
860009359,ALCALICOOP,Especializada,24501846840.00,3
830018957,FODESEP,Cooperativas y otras,24168535096.00,1
811027381,PREVENSERVICIOS,Cooperativas y otras,24109506545.00,3
804015582,COMUNIDAD,Cooperativas y otras,24109052009.00,2
900224922,COOPTALENTUM,Cooperativas y otras,23932878746.00,3
800140071,COFUNERARIA,Cooperativas y otras,23932251685.00,1
890200963,MULTICOOP,Especializada,23841141493.00,4
800074482,FACREDIG,Fondos de empleados,23778850194.00,2
890503586,COOPERACAFE,Cooperativas y otras,23676564612.00,2
900341922,FESNEPONAL,Fondos de empleados,23575928045.00,4
800149226,CARTAFUN,Cooperativas y otras,23360570043.00,2
890904894,TELEPOSTAL,Especializada,23354844552.00,4
860007337,SECREDITOS,Fondos de empleados,23335761243.00,3
860014456,FINANCIAR,Especializada,23253287686.00,2
800119787,FAGAS,Fondos de empleados,23205169806.00,3
900153385,FONAVON,Fondos de empleados,22986548583.00,2
890984909,FODELSA,Fondos de empleados,22881099404.00,1
860047269,CREDICITY,Cooperativas y otras,22840117296.00,1
824000609,FONDRUMMOND,Fondos de empleados,22831265341.00,4
860035482,FONFEDEARROZ,Fondos de empleados,22831108319.00,2
891103468,LOS OLIVOS EMCOFUN,Cooperativas y otras,22802738636.00,3
830093546,FESUN,Fondos de empleados,22790704286.00,2
890806974,COOPROCAL,Especializada,22758477705.00,4
860021787,COLOMBIACOOP,Cooperativas y otras,22602434524.00,2
890112286,,Fondos de empleados,22348693340.00,3
890203217,COALCESAR LTDA,Cooperativas y otras,22277324157.00,1
890304581,SOLIDARIOS,Cooperativas y otras,22230683703.00,2
800242531,SUMA,Cooperativas y otras,22180661133.00,4
800052469,FONDEGASES,Fondos de empleados,22141655031.00,2
891401093,CODEGAR LTDA,Cooperativas y otras,22026175952.00,1
860006756,COOPSURAMERICA,Especializada,21980538659.00,1
890907575,COOSANROQUE,Especializada,21923318304.00,3
811017024,COTRAFA SOCIAL,Cooperativas y otras,21764544823.00,2
800178245,COOPSOCIAL,Especializada,21721702668.00,4
892115453,CONFIAMOS,Especializada,21619695467.00,2
805006772,FELAFRANCOL,Fondos de empleados,21512004487.00,1
830016184,COOPDISALUD LTDA,Cooperativas y otras,21341510902.00,3
860533380,DEMCOOP,Cooperativas y otras,21140594628.00,3
891901162,COOEMTULUA,Cooperativas y otras,21038210456.00,4
901189454,,Cooperativas y otras,21010524944.00,1
800134095,COOTRABAN LTDA,Cooperativas y otras,20598370368.00,1
890305174,CAFIOCCIDENTE,Cooperativas y otras,20519605201.00,4
830129648,FONDEXHO,Fondos de empleados,20326902783.00,2
800247219,COOMSERVI,Fondos de empleados,20246635585.00,4
890982415,FEDEAN,Fondos de empleados,20233019593.00,2
800217250,COODELAC,Cooperativas y otras,20077206409.00,1
860527685,FEPAL,Fondos de empleados,20060603363.00,2
900965898,FEPOLI,Fondos de empleados,19995707062.00,1
890803056,FAPUN,Fondos de empleados,19946835692.00,1
891200986,CAFEOCCIDENTE LTDA,Cooperativas y otras,19902181647.00,2
800196511,COOTRAUNION,Especializada,19743686636.00,4
890981497,COOSVICENTE,Especializada,19717652679.00,3
860022029,FONABBOTT,Fondos de empleados,19689469754.00,1
830028961,FEQSA,Fondos de empleados,19669911257.00,3
800084500,BIVE,Fondos de empleados,19657610576.00,2
890270827,COPACOL,Cooperativas y otras,19655061805.00,4
800041040,FONDOFE,Fondos de empleados,19650143446.00,3
860504352,,Fondos de empleados,19454520206.00,4
860028576,CORVINDE,Cooperativas y otras,19432077752.00,2
900229801,FONGRANTIERRA,Fondos de empleados,19408948558.00,4
890802275,FONFABRICAFE,Fondos de empleados,19378537867.00,4
860090873,ITALCOOP,Cooperativas y otras,19269933263.00,4
800103677,COOPINTEGRATE,Especializada,19226792726.00,3
901084948,TP4U,Fondos de empleados,19191963488.00,1
800077665,CODELCAUCA,Cooperativas y otras,19151594091.00,2
805009249,FEINCOPAC,Fondos de empleados,18951256113.00,4
800131687,FEDEHACEB,Fondos de empleados,18937618163.00,4
800069709,COOPENTEL,Cooperativas y otras,18896434483.00,3
860015555,PROCARBON,Cooperativas y otras,18892399096.00,4
891900236,CAFICENTRO,Cooperativas y otras,18880141342.00,3
800172362,FEIS,Fondos de empleados,18760332607.00,2
900267502,AGMSALUD CTA,Cooperativas y otras,18705112678.00,1
830002187,FONBOLIVAR,Fondos de empleados,18699061458.00,3
890326652,FONEM PLUS,Fondos de empleados,18576621550.00,2
890331253,FIC,Fondos de empleados,18494630413.00,3
890801733,FONCALDAS,Fondos de empleados,18398380415.00,2
800193348,COGANCEVALLE,Cooperativas y otras,18364990965.00,1
890208101,COOPRUIS,Cooperativas y otras,18350579608.00,1
811018902,METROFEM,Fondos de empleados,18213240117.00,2
901619094,,Cooperativas y otras,18036777649.00,3
800167927,FONDELAR,Fondos de empleados,17983441039.00,3
860074149,FEMAP,Fondos de empleados,17958032906.00,4
800251606,FONDEFIS,Fondos de empleados,17946925669.00,4
860013472,COOMINOBRAS,Cooperativas y otras,17838017696.00,4
890309582,FONALIMENTOS,Fondos de empleados,17815808288.00,1
800055169,COOMULSAP,Cooperativas y otras,17679289041.00,2
811005688,SUFONDO,Fondos de empleados,17542274200.00,2
890206041,COOPECAFENOR,Cooperativas y otras,17281588197.00,4
800067217,FONDEHOSMIL,Fondos de empleados,17215606951.00,4
800126897,COOHEM,Cooperativas y otras,17191893686.00,1
891400715,COOPISS COLOMBIA,Cooperativas y otras,16948602550.00,2
811013986,COOPIMAR CTA,Cooperativas y otras,16931457228.00,1
860016190,FONCRECER,Fondos de empleados,16843022598.00,1
890701430,COOPERAMOS,Cooperativas y otras,16571880649.00,3
800240329,FEMDI,Fondos de empleados,16523172851.00,1
832004870,FONALCANZAR,Fondos de empleados,16509226729.00,2
800233440,FONPROCAPS,Fondos de empleados,16453179662.00,1
890800099,COOTRACHEC,Especializada,16364265941.00,4
800251322,COSMEPOP,Cooperativas y otras,16305646859.00,3
830121369,FENUCOL,Fondos de empleados,16251388400.00,2
900171855,FENALTER,Fondos de empleados,16132806178.00,1
830142623,FONFRESENIUS,Fondos de empleados,15942597246.00,3
860029548,FEP,Fondos de empleados,15921468575.00,3
860021362,,Fondos de empleados,15872418723.00,3
860008934,COOMILITAR LTDA.,Cooperativas y otras,15867396279.00,2
800130007,COOPSERVIANDINA,Cooperativas y otras,15850927202.00,4
800250449,COOTEC,Cooperativas y otras,15823118963.00,4
826001707,COMAFRUVES,Cooperativas y otras,15784981613.00,3
900498884,SERMUTUAL,Cooperativas y otras,15778292402.00,4
800175594,COFACENEIVA,Especializada,15764551567.00,1
832002108,FEBIMBO,Fondos de empleados,15746873820.00,2
891502277,COOPCRECIENDO,Cooperativas y otras,15660787827.00,1
891855103,NORBOY O.C.,Especializada,15625271519.00,1
900087473,FINANCIAFONDOS,Especializada,15593088957.00,3
800022772,KDEFON,Fondos de empleados,15573485833.00,3
830107564,,Fondos de empleados,15535293207.00,3
860040275,FESINCO,Fondos de empleados,15451923023.00,4
811018807,FONDOUNE,Fondos de empleados,15361082399.00,1
805003910,ENERGIFONDO,Fondos de empleados,15311814617.00,3
900074927,EL HOSPITAL,Fondos de empleados,15258013703.00,3
800141898,COOMACHOCO,Cooperativas y otras,15227908578.00,4
860022308,FONDOFROSST,Fondos de empleados,15181422397.00,2
804005332,COOHILADOS DEL FONCE LTDA,Cooperativas y otras,15135162611.00,1
890208107,FEMAC,Fondos de empleados,15019460022.00,4
900103234,FEGREEN,Fondos de empleados,15009113709.00,2
890204980,COOPARAMO LTDA.,Especializada,14997616549.00,4
800250023,COODESTOL,Cooperativas y otras,14980265549.00,3
890303526,COOPERBASE,Fondos de empleados,14969462080.00,2
830056173,COOPFISCALIA,Cooperativas y otras,14955555833.00,3
860015708,COOTRADIAN,Cooperativas y otras,14944007885.00,2
800038375,COODIN,Especializada,14921576930.00,4
890001038,,Fondos de empleados,14908555313.00,4
890904028,COOPMACEO LTDA.,Especializada,14878000549.00,4
800114798,EMPRENDER,Cooperativas y otras,14873243546.00,4
890982306,FECERVUNION,Fondos de empleados,14784134137.00,2
891412257,FACOR,Fondos de empleados,14759906594.00,2
890985581,FECOL,Fondos de empleados,14672056508.00,1
891301083,FEIP,Fondos de empleados,14581130306.00,4
800074405,FECOM,Fondos de empleados,14547757488.00,4
901600066,CONACAFE,Cooperativas y otras,14421817864.00,1
800220575,FONJUDICATURA,Fondos de empleados,14289686228.00,3
860031432,CODEFUNZA,Cooperativas y otras,14276536495.00,4
800159555,FONDEX,Fondos de empleados,14268196532.00,1
891400716,COTRASENA,Especializada,14254864261.00,4
900215395,,Fondos de empleados,14165191499.00,1
890200224,COOSAMIR,Cooperativas y otras,14163051670.00,2
800043903,FEINCOL,Fondos de empleados,14075898401.00,2
860044534,COOPICBF,Cooperativas y otras,14007682197.00,4
860013683,COOPAVA,Cooperativas y otras,13934662100.00,2
900597534,COTECAFE,Cooperativas y otras,13901830202.00,1
800207237,EMPRESAGRO,Cooperativas y otras,13821187767.00,2
830006497,FESAP,Fondos de empleados,13774509164.00,1
830077032,FONPOWER,Fondos de empleados,13737666702.00,2
800061988,COOPERATIVA AVP,Especializada,13650225449.00,4
860010744,FECC,Fondos de empleados,13626999878.00,1
800019565,FONDECAA,Fondos de empleados,13611180679.00,3
892000914,COORINOQUIA,Especializada,13569199328.00,1
860350352,FECOPI,Fondos de empleados,13533959485.00,2
900485335,FERMAD,Fondos de empleados,13453560416.00,2
805019599,EL EDEN COOPERATIVA MULTIACTIVA,Cooperativas y otras,13450839671.00,2
860007339,COONALTRAGAS,Cooperativas y otras,13408816789.00,4
800072480,COOVIPROC,Cooperativas y otras,13353123418.00,2
860009949,COOMAGISCUN,Cooperativas y otras,13335114941.00,1
860036073,PETROCOOP,Cooperativas y otras,13223619071.00,4
830036461,CONFE,Fondos de empleados,13205501978.00,4
890904368,COOBAGRE,Especializada,13187376623.00,2
800122482,FOMAS,Cooperativas y otras,13157506923.00,2
860023039,FONDEC,Fondos de empleados,13135844985.00,4
901281483,FONKOBA,Fondos de empleados,13065807447.00,4
800008889,,Fondos de empleados,12930496328.00,4
804009200,COHOSAN,Cooperativas y otras,12897739052.00,4
830081620,FONDAR,Fondos de empleados,12866179245.00,2
800166120,FOTRANORTE,Fondos de empleados,12802824451.00,1
800189840,FEMEG,Fondos de empleados,12802595484.00,3
816004746,COOINPAZ LTDA,Cooperativas y otras,12756378975.00,1
811016206,FEGS,Fondos de empleados,12706459640.00,3
800227717,FONDEPOBU,Fondos de empleados,12652450946.00,2
860024035,FESFA,Fondos de empleados,12588088785.00,4
805019469,,Cooperativas y otras,12483002990.00,3
860521740,FONMEALS,Fondos de empleados,12475711248.00,3
900244197,FONDEFAL,Fondos de empleados,12420338548.00,1
