nameEmpresa;nitEmpresa;emailEmpresa;activos;tipoEntidad
COOPERATIVA DE PRODUCTORES DE CARBON DE LA PROVINCIA DE SUGAMUXI  LTDA;891856421;cooprosugamuxi@yahoo.es;1033514970;Cooperativa sin ahorro
COOPERATIVA MINERA BOYACENSE LTDA.;891800332;coomboy@hotmail.com;2900325442;Cooperativa sin ahorro
COOPERATIVA BOYACENSE DE PRODUCTORES DE CARBON DE SAMACA LTDA;891800437;cooprocarbon@gmail.com;5834689087;Cooperativa sin ahorro
COOPERATIVA COMERCIALIDORA BOYACENSE DE CARBONES;826000494;xmacf@hotmail.com;850423128;Cooperativa sin ahorro
COOPERATIVA DE CAFICULTORES DEL NORTE DEL TOLIMA LTDA;890701550;gerencia@cafinorte.com;4233474145;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO  LOS REALES LTDA;800078982;cootrarealescta@gmail.com;251323007;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO  LOS PUENTES LTDA;800016991;coopuentescta@gmail.com;135248180;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO CA¥O ALEGRE LTDA;860527600;cocanoalegrecta@gmail.com;2088000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO ORTEGA LTDA;800083143;cortegacta@gmail.com;252497929;Cooperativa y otros
FONDO DE EMPLEADOS DE LA EMPRESA METROPOLITANA DE ASEO - EMAS-;810000909;yesgiral25@hotmail.com;93838404;Fondos de empleados
COOPERATIVA DE TRABAJO ASOCIADO DE RECICLADORES DE CORDOBA;812001752;cooprescordoba.esp@gmail.com;161724597;Cooperativa y otros
ASOCIACION DE COOPERATIVAS Y ENTIDADES SOLIDARIAS DEL ATLANTICO;890116620;acsa_confecoopatlantico@msn.com;52283174;Cooperativa y otros
COOPERATIVA DE CARPEROS AL SERVICIO DEL TURISMO;819001023;josemontenegro21@hotmail.com;103570150;Cooperativa sin ahorro
COOPERATIVA DE TURISMO RECREACION Y CULTURA LTDA.;800159307;cooturlimitada@gmail.com;3448629873;Cooperativa sin ahorro
COOPERATIVA DE PETROLEROS LTDA;800203791;coopetroleroscta@gmail.com;77067889;Cooperativa y otros
COOPERATIVA CAMPESINA DE DESARROLLO INTEGRAL VEGAS DEL QUEMADO LTDA.;800164146;coopcadiveque17@gmail.com;28095271;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO MANTENIMIENTO VIAL DE MONTENEGRO;800014123;coopmavial-43@outlook.com;104969107;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO MICROCOLMA;890506188;microcolmacta@hotmail.com;89338326;Cooperativa y otros
CENTRAL DE COOPERATIVAS DEL NORTE DE SANTANDER LIMITADA;890505732;informacion@confecoopnorte.com.co;87078310;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO ECOLOGICA AGROAMBIENTAL DE REFORESTACION Y RECICLAJE;807001154;cootraeco.p@hotmail.com;117700542;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO MULTIPLE DE SARDINATA;800088203;cootramusalr2018@outlook.com;169096016;Cooperativa y otros
PRECOOPERATIVA LA CANDELARIA LTDA;800142524;empresarialespaf@hotmail.com;113699794;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO ZUYEPAL LTDA;800016891;cootrazuyepalcta@hotmail.com;127476808;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LA TEBAIDA C.T.A;891224635;latebaidacta@gmail.com;70301183;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LA UNION;800087516;cootraunion_cta@hotmail.com;99444489;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO HISPANIA LTDA;800174481;cooptahis@hotmail.com;370316477;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO TONCHALA;890505329;cootratonchala-cta@hotmail.com;148395550;Cooperativa y otros
COOPERATIVA MULTIACTIVA DE TRABAJADORES DEL SECTOR HOTELERO Y TURISTICO DE CARTAGENA;890481270;joel-dias-delarosa@hotmail.com;44101493;Cooperativa sin ahorro
PRECOOPERATIVA DE ASOCIACIONES DE HOGARES DE BIENESTAR FAMILIAR DEL MU;810001294;gerencia@coashogares.com;1094971147;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO SALDA#A LTDA;800016278;cootrasaldanacta@gmail.com;260243741;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO ALTO DEL POZO;807001828;cootraltocta@outlook.com;147271716;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LA LIBERTAD;800014469;mlpm1965@hotmail.com;345426185;Cooperativa y otros
ASOCIACION MUTUAL A CRECER;891407881;lasantacruzfuneraria@hotmail.com;210428451;Mutuales
ASOCIACION MUTUAL NUEVA JERUSALEM;816001941;amnuevajerusalem@hotmail.com;7198813;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO DE OCCIDENTE;891412955;cotraocci@gmail.com;142373960;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LOS VALLETENZANOS;800049750;losvalletenzanoscta@gmail.com;112793275;Cooperativa y otros
ASOCIACION DE AUXILIO MUTUO ALFONSO LOPEZ PUMAREJO;860040535;jomaca55@gmail.com;12486376;Mutuales
ASOCIACION DE AUXILIO MUTUO POLICARPA SALAVARRIETA;860014992;diniandiaz@hotmail.com;487132502;Mutuales
COOPERATIVA DE SERVICIOS MULTIPLES VEL-LAPASS LIMITADA;800127335;coopvellapass@hotmail.com;5425664;Cooperativa sin ahorro
ASOCIACION MUTUAL DE AUTUCONSTRUCCION LA FRAGUA;860037079;asomacons2020@gmail.com;555937558;Mutuales
CORPORACION PREVISION DE RIESGOS INSTITUCION AUXILIAR DE LA ECONOMIA SOLIDARIA;830104452;cpa@actuarioscpa.com;122908628;Cooperativa y otros
SOCIEDAD DE AUXILIO MUTUO  DE HATOGRANDE SUESCA;830041845;mutualsamas@gmail.com;1;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO DE CAJAMARCA;890706176;cootracajamarcacta@gmail.com;179991205;Cooperativa y otros
COOPERATIVA MULT.DE PROD.AGROPEC.DEL CA¥ON DEL COMBEIMA LTDA;809005264;coomucom@gmail.com;2920000;Cooperativa sin ahorro
COOPERATIVA INTEGRAL PARA LA COMERCIALIZACION DE CAFE, CACAO Y PRODUCTOS AGRICOL;800151486;comercasanvi@hotmail.com;259499864;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO EL NARANJAL;817001322;adrijos70@yahoo.es;134136000;Cooperativa y otros
FEDERACION NACIONAL DE COOPERATIVAS DEL SECTOR EDUCATIVO COLOMBIANO;830103142;fensecoop@gmail.com;596313872;Cooperativa y otros
COOPERATIVA DE EMPLEADOS OFICIALES DEL MUNICIPIO DE TAME;800179932;comvitame.ltda@hotmail.com;127948602;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO TECNIMANTENIMIENTOS;834000667;cootecniman_8@hotmail.com;333697246;Cooperativa y otros
COOPERATIVA AGROCAMPESINA CARAGUA LIMITADA;800177735;agrocampesinacaragua-019@hormail.com;8826469;Cooperativa sin ahorro
COOPERATIVA DE PPRODUCTORES Y AHORRADORES GUARUMAL LTDA.;800091912;coproagumal.89@hotmail.com;7728154;Cooperativa sin ahorro
GRUPO PRECOOPERATIVO LA PUERTA DEL LLANO LTDA;844000065;cooptrasllano@yahoo.es;368823917;Cooperativa y otros
COOPERATIVA AGRICOLA PANTANOS LIMITADA;800105892;coagropantanos@hotmail.com;5975620;Cooperativa sin ahorro
COOPERATIVA DE CREDITO COOPEVAL;805013497;infocoopeval@gmail.com;600139500;Cooperativa sin ahorro
PRODUCCION MERCADEO Y SERVICIO C.T.A.;830107708;rosais1958@yahoo.com.mx;1;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EN PRODUCCION Y COMERCIALIZACION DE BIENES Y SERVICIOS TEKAR;824005433;gerencia@cootratekar.com;110076692;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO BRISS DEL RIOLORO;813001858;soniacometa@hotmail.com;195010679;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADOLA PERLAZA;813007772;ctalaperlaza@gmail.com;177521132;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LLANOS DE LABOYOS;891105042;ctallanosdelaboyos@hotmail.com;291007619;Cooperativa y otros
COOPERATIVA MULTIACTIVA NACER;830102897;coopnacer@yahoo.com;846054191;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO OPLAMAR LTDA;800178216;hisusa@hotmail.com;151152654;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO SERVICOPAVA;830122276;contabilidad@coopava.com.co;73432541;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EL TURPIAL;800116948;adrijos70@yahoo.es;320301000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EL ROSARIO;817002190;adrijos70@yahoo.es;68718000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LIMPIAR;834000666;jgoyeneche27@hotmail.com;394958829;Cooperativa y otros
COOPERATIVA MULTIACTIVA DE COMERCIALIZADORES DE GANADO Y CARNES DELA RAUCA LTDA;834000603;coopcarnesltda@gmail.com;339772892;Cooperativa sin ahorro
COOPERATIVA GENESIS;805012123;coogenesis1@gmail.com;76330;Cooperativa sin ahorro
ASOCIACION MUTUARIA ANTONIO RICAURTE;891200125;asomutualantonioricaurte@gmail.com;532059030;Mutuales
COOPERATIVA LINO DE J. ACEVEDO;890904564;cooplinodej@hotmail.com;196755721;Cooperativa sin ahorro
ASOCIACION CIVICA ESPERANZA OBRERO;890984636;amceo2011@hotmail.com;33760190;Mutuales
PRECOOPERATIVA DE TRABAJO ASOCIADO PROMOVER;811014783;promovercoopta@gmail.com;29061765;Cooperativa y otros
CENTRAL DE INTEGRACION COOPERATIVA DEL CARIBE;890481532;confecoopcaribe@yahoo.es;185596999;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LAS MERCEDES;800020462;cooptramer@gmail.com;252430714;Cooperativa y otros
COOPERATIVA LOS FUNDADORES CARAGUA LIMITADA;800178664;fundadores.89@hotmail.com;3556988;Cooperativa y otros
FONDO DE EMPLEADOS DE COCA-COLA;830057969;roarevalo@coca-cola.com;72412648;Fondos de empleados
FONDO DE EMPLEADOS CIA DE TRABAJOS URBANOS S.A;830064803;fonctu@ctu.com.co;298696773;Fondos de empleados
COOPERATIVA DE TRABAJO ASOCIADO Y SERVICIOS MULTIPLES LA SAMARIA LTDA.;807003506;cooperativalasamariacta@hotmail.com;44459253;Cooperativa y otros
COOPERATIVA DE AFILIACIONES AL POS PEQUE#A Y MEDIANA EMPRESA;811009732;coapyme@une.net.co;186333681;Cooperativa sin ahorro
COOPERATIVA DE PRODUCCION COMERCIALIZACION Y EXPORTACION DE CAFE AGROEXCAFE LT;813003821;nohemifernandez5@hotmail.com;2264057146;Cooperativa sin ahorro
ALIANZA-CM COOPERATIVA MULTIACTIVA;809006853;alianzacmgerencia@gmail.com;91169512;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO RIVERA DEL SUAZA;800085571;cootrarsuaza@hotmail.com;183692307;Cooperativa y otros
ASOCIACION MUTUAL SAN FRANCISCO DE ASIS;891408448;asomfras@yahoo.es;6753189;Mutuales
COOPERATIVA INDUSTRIAL DE BOYACA LTDA.;891856065;gerencia.cideb@gmail.com;4093262391;Cooperativa sin ahorro
COOPERATIVA DE PRODUCTORES DE LECHE DE NARI¥O LTDA;800076624;yumar666@hotmail.com;243864692;Cooperativa sin ahorro
COOPERATIVA AGRICOLA DE DESARROLLO RURAL ARNANIA LTDA.;800104258;cooperativaarnania@hotmail.com;7821632;Cooperativa sin ahorro
COOPERATIVA DE EMPLEADOS DE ELECTRODOMESTICOS SANCHEZ;800218874;cooelectrosan@hotmail.com;567331224;Cooperativa sin ahorro
ASOCIACION MUTUAL SAGRADA FAMILIA;890985548;asociacionmutualsagradafamiliasopetran@hotmail.com;57328422;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO UNION LTDA;800082998;ccoounioncta@gmail.com;35692652;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO VALLE  DE GUAMUEZ C.T.A;846001054;coopdamanvcta@gmail.com;245110962;Cooperativa y otros
ASOCIACION MUTUAL PERPETUO SOCORRO;891410055;mutualperpetuosocorro@hotmail.com;118514306;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO LOS ONCE;818001045;cooplosonce@gmail.com;189949091;Cooperativa y otros
FONDO DE EMPLEADOS DE JJ PITA Y CIA. S.A.;807003908;fondojjpita@hotmail.com;28736467;Fondos de empleados
COOPERATIVA DE TRABAJO ASOCIADO SANTANA C.T.A;846001052;santanacta@gmail.com;109097733;Cooperativa y otros
ASOCIACION MUTUAL DE INDUSTRIALES Y OBREROS DE UBATE;860044685;asmoubate@hotmail.com;1864926732;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO LA MEZA;807008112;cooptrameza@hotmail.com;103071102;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO SAN JOSE;817001341;adrijos70@yahoo.es;132429000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LOS ANDES;817002227;adrijos70@yahoo.es;66389000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EL NEVADO;800111646;adrijos70@yahoo.es;70055000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EL PRADO;817002636;adrijos70@yahoo.es;178162000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADOAMISTAD LATINA;800051165;adrijos70@yahoo.es;121280000;Cooperativa y otros
COOPERATIVA MULTIACTIVA DE MATARIFES DE PALERMO;813002095;coomulmap@outlook.com;236155188;Cooperativa sin ahorro
COOPERATIVA FEMENINA ARTESANAL SANDONA LTDA;800031381;coofasandona@gmail.com;116902258;Cooperativa sin ahorro
COOPERATIVA INTEGRAL DE TRABAJADORES, EXTRABAJADORES, PENSIONADOS Y JUBILADOS Y FAMILIARES DEL SECTOR SALUD EN EL DPTO. DE BOLIVAR;890481065;alt93540@yahoo.com;7707239;Cooperativa sin ahorro
COOPERATIVA EL AGUILA LTDA;802020502;coopeaguilaltda@hotmail.com;114948000;Cooperativa sin ahorro
COOPERATIVA DECOMERCIALIZADORES DE BANANOS Y VARIOS DEL ATLANTCO LTDA;802019556;coobatlanltda@hotmail.com;10000;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO TEXALIA C.T.A;846001238;ctatexalia@gmail.com;185623673;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO;804005660;gerencia.asesorias@gmail.com;7162464;Cooperativa y otros
ADMINISTRACION PUBLICA COOPERATIVA DE JUNTAS DE ACCION COMUNAL DEL SUR LTDA. ;814001004;dianapotosi95@gmail.com;213396003;Cooperativa y otros
ASOCIACION MUTUALISTA SAN GREGORIO;860067636;eduardoterreros@hotmail.com;234667756;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO LOS FUNDADORES;816004368;ctafundadoresapia@gmail.com;243105828;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO COMUNEROS DE SAN MIGUEL C.T.A;846001219;comunerosdesanmiguelcta@gmail.com;164569874;Cooperativa y otros
COOPERATIVA DE LECHEROS DE GUATVITA;832004101;cooperativacolega@msn.com;890040275;Cooperativa sin ahorro
ASOCIACION MUTUAL DE CIUDAD KENNEDY;860031192;asomutualken@hotmail.com;89387181;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO NUEVA INTEGRACION ROSAS CAUCA;817003553;adrijos70@yahoo.es;74862000;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SERVICIOS ESPECIALES;806008719;coomulsep@hotmail.com;141378754;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE VILLAPINZON LTDA;860013424;cooperativavilla05@hotmail.com;761882576;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO EL CARAÑO;828001648;coopcarano@hotmail.com;137249422;Cooperativa y otros
GESTION EMPRESARIAL;801004561;gestionempresarialcta@gmail.com;10000;Cooperativa y otros
FEDERACION COLOMBIANA COOPERATIVAS DE PRODUCTORES DE LECHE;860061503;fedecole@fedecooleche.com;379792308;Cooperativa y otros
COOPERATIVA DE ELECTRODOMESTICOS Y MUEBLES DEL CARIBE;802013046;cooperativa.coomec@gmail.com;201281526;Cooperativa sin ahorro
ASOCIACION MUTUAL SAN ISIDRO;811028636;kellyj.10@hotmail.com;128622117;Mutuales
COOPERATIVA ESPECIALIZADA DE TRABAJO ASOCIADO EN MANTENIMIENTO Y CONSERVACION DE VIAS CORAZON DEL PUTUMAYO LTDA;846001066;corazoncta@gmail.com;126528489;Cooperativa y otros
COOPERATIVA DE CONSTRUCTORES ASOCIADOS CONSTRUCT CAMBIS LTDA;813005772;soniacometa@hotmail.com;160824290;Cooperativa y otros
COOPERATIVA DE LA ORGANIZACION SAN NICOLAS;806009463;sanicoop@hotmail.com;28378754;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO ITAIBE;817001342;ctaitaibe2015@gmail.com;65873831;Cooperativa y otros
FONDO DE AUXILIOS MORTUORIOS DE LOS PENSIONADOS DEL TERMINAL MARITIMO;891702196;fondomortuoriosantamarta@gmail.com;1915774772;Mutuales
COOPERATIVA MULTIACTIVA COOCREDIYA;802015198;contabilidad@coocrediya.com;196621932;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO MULTISERVICIOS;815004748;coomult@yahoo.es;372401275;Cooperativa y otros
COOPERATIVA BEATRIZ;823004930;beatrizcoop@hotmail.com;59805736;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO CUBARA BOYACA;826003402;administrativo@cootrascubcta.com;61747665;Cooperativa y otros
TELECOMUNICACIONES ASOCIADAS C.T.A.;821003449;emcomunitel@gmail.com;2426745;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO HORIZONTE;817006270;adrijos70@yahoo.es;97498000;Cooperativa y otros
COOPERATIVA INVERSIONES Y PLANES DE LA PAZ LTDA.;816004746;cjinegocios@hotmail.com;12756378975;Cooperativa sin ahorro
COOPERATIVA AGROINDUSTRIAL DEL ORIENTE LTDA;804002858;agrocoop@hotmail.com;4608081;Cooperativa sin ahorro
ASOCIACION MUTUAL LA INMACULADA;811036678;gabrielgallegorios@hotmail.es;71704979;Mutuales
COOPERATIVA DE TRABAJO ASOCIADO LOS AMIGOS DE ORIENTE;800101282;adrijos70@yahoo.es;61810000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO UPIA;820003033;upiacta@gmail.com;79032522;Cooperativa y otros
COOPERATIVA PANAMERICANA DE CACOTA;807009131;panamcacoop-cta@hotmail.com;9057049;Cooperativa y otros
COOPERATIVA DE TRABAJADORES DEL ALMACEN  MUEBLES  SAN  FRANCISCO;823003384;cootrasanfrancisco@hotmail.com;1980000;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO Y SERVICIOS MULTIPLES PAMPLONESES EN ACCION;807007087;empresarialespaf@hotmail.com;99299013;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO Y SERVICIOS MULTIPLES DE GIBRALTAR;807008392;cootrasermulgib_cta@hotmail.com;114070603;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO NUEVO HORIZONTE O.C;844005123;nuevohorizonte2008@yahoo.com;140591561;Cooperativa y otros
COOPERATIVA DE CACAOCULTORES DE SANTANDER;804013329;julian.vasquez@ecocacao.com;1807560015;Cooperativa sin ahorro
COOPERATIVA NACIONAL SOLIDARIA;900030002;coonasol@yahoo.es;6550596;Cooperativa sin ahorro
ASOCIACION COLOMBIANA DE COOPERATIVAS DE VIGILANCIA PRIVADA;830089833;ascoovip@yahoo.com;67825831;Cooperativa y otros
COOPERATIVA MULTIACTIVA DE SERVICIOS;900029717;coopservimas@hotmail.com;24396495;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO LABOREMOS CTA.;830108817;laboremoscta@hotmail.com;1347623;Cooperativa y otros
FONDO DE EMPLEADOS DE LA ADMINISTRACION COOPERATIVA DE HOSPITALES Y MUNICIPIOS DE CUNDINAMARCA;900035384;fondecum@gmail.com;421158;Fondos de empleados
COOPERATIVA UNIVERSAL COOPUNIVERSAL;800191121;coopuniversal@hotmail.com;9871443;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO Y SERVICIOS MULTIPLES LA MORENA DE LABATECA;807007079;cootrasermorelab2018@gmail.com;112433567;Cooperativa y otros
ORGANIZACION COOPERATIVA LA ECONOMIA;820004433;oc.cooperativa@gmail.com;1877379;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO PARAMILLOS;817002632;adrijos70@yahoo.es;125920000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO LA UNION DE TORIBIO;817007449;adrijos70@yahoo.es;128680000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO PANCITARA;830511251;adrijos70@yahoo.es;67462000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO RIOPALO;900007425;adrijos70@yahoo.es;195395000;Cooperativa y otros
COOPERATIVA COCRESUCRE;823003576;coocresucre@hotmail.com;471620000;Cooperativa sin ahorro
COOPERATIVA DE ARTESANOS DE ANTIOQUIA;811036536;gerenciacooasda@gmail.com;243246869;Cooperativa sin ahorro
COOPERATIVA EPSIFARMA;900067659;notificacionesliquidacion@epsifarma.com.co;45479139256;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO COMPECOOP;900121813;compecoop2006@gmail.com;16000000;Cooperativa y otros
COOPERATIVA MULTIACTIVA COOPYMEX;900078604;gerencia@coopymex.org;13781340;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SOLUCIONES DE VIDA;900070316;administracion@cooperativacoopsolvida.com;60610080;Cooperativa sin ahorro
CENTRO INTEGRAL COODECOM;900089602;centrointegralcoodecom@hotmail.com;4559906655;Cooperativa y otros
COOPERATIVA MULTIACTIVA PARA LA PRODUCCION Y COMERCIALIZACION DE BIENES Y SERVICIOS LTDA;900079401;coopcomercio@yahoo.com;23343865;Cooperativa sin ahorro
COOPERATIVA RURAL NUEVA ERA SOCIAL;811032144;coorural@gmail.com;809693000;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO SANTIAGO CAUCA;817006872;adrijos70@yahoo.es;78014000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO EL JARDIN;817007312;jhon6-6-1979@hotmail.com;59743000;Cooperativa y otros
COOPERATIVA MULTIACTIVA  DE CREDITO PRODUCTOS  Y SERVICIOS;900174470;comulcrecer@hotmail.com;23507010;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA SEMILLA DE MOSTAZA DEL VALLE DEL CAUCA;900153623;cooperativasemilla@gmail.com;76689028;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SERVICIOS VARIOS  COOMULSERVAR;900117681;contabilidad@coomulservar.com;123405135;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE PROFESIONALES Y SERVICIOS;900174047;ivanancinez@hotmail.com;736859210;Cooperativa sin ahorro
COOPERATIVA COMUNITARA DE SERVICIOS Y DE TRABAJO ASOCIADO DE CALIBIO;817007228;adrijos70@yahoo.es;72746000;Cooperativa y otros
COOPERTIVA DE TRABAJO ASOCIADO ALTO PISIMBALA;900021453;adrijos70@yahoo.es;108830000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO CAPISISCO;900065022;adrijos70@yahoo.es;297321000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO PUERTA DEL MACIZO;900081611;adrijos70@yahoo.es;70629000;Cooperativa y otros
COOPERATIVA DE TRABAJO ASOCIADO BRISAS;900091684;adrijos70@yahoo.es;87404000;Cooperativa y otros
COOPERATIVA BUELVAS;823003586;coobuelvas@hotmail.com;23956000;Cooperativa sin ahorro
